Name,ID
Mike Hazen,1
Dave Stewart,2
Kevin Towers,3
Josh Byrnes,4
Joe Garagiola,5
Alex Anthopoulos,6
John Coppolella,7
John Hart,8
Frank Wren,9
John Schuerholz,10
Bobby Cox,11
John Mullen,12
Bill Lucas,13
Eddie Robinson,14
Paul Richards,15
John McHale,16
John Quinn,17
Mike Elias,18
Dan Duquette,19
Andy MacPhail,20
Mike Flanagan,21
Jim Beattie,22
Syd Thrift,23
Pat Gillick,24
Roland Hemond,25
Hank Peters,26
Frank Cashen,27
Harry Dalton,28
Lee MacPhail,29
Art Ehlers,30
Bill Veeck,31
Bill DeWitt,32
Brian O'Halloran,33
Dave Dombrowski,34
Ben Cherington,35
Theo Epstein,36
Mike Port,37
Lou Gorman,38
Haywood Sullivan,39
Dick O'Connell,40
Pinky Higgins,41
Bucky Harris,42
Joe Cronin,43
Jed Hoyer,44
Randy Bush,45
Jim Hendry,46
Ed Lynch,47
Larry Himes,48
Jim Frey,49
Dallas Green,50
Bob Kennedy,51
Salty Saltwell,52
John Holland,53
Wid Mathews,54
Nick Krall,55
Dick Williams,56
Walt Jocketty,57
Wayne Krivsky,58
Dan O'Brien,59
Jim Bowden,60
Bob Quinn,61
Murray Cook,62
Bill Bergesch,63
Bob Howsam,64
Dick Wagner,65
Gabe Paul,66
Warren Giles,67
Mike Chernoff,68
Chris Antonetti,69
Mark Shapiro,70
Joe Klein,71
Phil Seghi,72
Alvin Dark,73
Frank Lane,74
Hank Greenberg,75
Jeff Bridich,76
Daniel O'Dowd,77
Bob Gebhard,78
Alberto Avila,79
Randy Smith,80
Jerry Walker,81
Joe McDonald,82
Bill Lajoie,83
Jim Campbell,84
Rick Ferrell,85
Walter Briggs,86
Muddy Ruel,87
Charlie Gehringer,88
Billy Evans,89
James Click,90
Jeff Luhnow,91
Ed Wade,92
Tim Purpura,93
Gerry Hunsicker,94
Bob Watson,95
Bill Wood,96
Al Rosen,97
Tal Smith,98
Spec Richardson,99
Dayton Moore,100
Allard Baird,101
Herk Robinson,102
Joe Burke,103
Cedric Tallis,104
Perry Minasian,105
Billy Eppler,106
Jerry Dipoto,107
Tony Reagins,108
Bill Stoneman,109
Bill Bavasi,110
Buzzie Bavasi,111
Dick Walsh,112
Fred Haney,113
Farhan Zaidi,114
Ned Colletti,115
Paul DePodesta,116
Dan Evans,117
Kevin Malone,118
Fred Claire,119
Al Campanis,120
Branch Rickey,121
Kim Ng,122
Michael Hill,123
Dan Jennings,124
Mike Berger,125
Larry Beinfest,126
Matt Arnold,127
David Stearns,128
Douglas Melvin,129
Dean Taylor,130
Sal Bando,131
Jim Baumer,132
Jim Wilson,133
Marvin Milkes,134
Thad Levine,135
Derek Falvey,136
Rob Antony,137
Terry Ryan,138
Bill Smith,139
Howard Fox,140
Calvin Griffith,141
Brodie Van Wagenen,142
Sandy Alderson,143
Omar Minaya,144
Jim Duquette,145
Steve Phillips,146
Joe McIlvaine,147
Al Harazin,148
Bob Scheffing,149
Johnny Murphy,150
Bing Devine,151
George Weiss,152
Brian Cashman,153
Gene Michael,154
Hardy Peterson,155
Lou Piniella,156
Woody Woodward,157
Clyde King,158
Ralph Houk,159
Roy Hamey,160
David Forst,161
Billy Beane,162
Billy Martin,163
Charlie Finley,164
Ed Lopat,165
Pat Friday,166
Parke Carroll,167
George Selkirk,168
Sam Fuld,169
Matt Klentak,170
Ruben Amaro,171
Lee Thomas,172
Bill Giles,173
Paul Owens,174
Bob Carpenter,175
Neal Huntington,176
Dave Littlefield,177
Cam Bonifay,178
Ted Simmons,179
Larry Doughty,180
Joseph O'Toole,181
Joe Brown,182
AJ Preller,183
Jack McKeon,184
Bob Fontaine,185
Scott Harris,186
Bobby Evans,187
Brian Sabean,188
Tom Haller,189
Horace Stoneham,190
Chub Feeney,191
Jack Zduriencik,192
Lee Pelekoudas,193
Dick Balderson,194
Hal Keller,195
Mike Girsch,196
John Mozeliak,197
Dal Maxvill,198
Whitey Herzog,199
John Claiborne,200
Stan Musial,201
Dick Meyer,202
Erik Neander,203
Matt Silverman,204
Andrew Friedman,205
Chuck Lamar,206
Chris Young,207
Jon Daniels,208
Tom Grieve,209
Bob Short,210
Ed Doherty,211
Ross Atkins,212
JP Ricciardi,213
Gord Ash,214
Michael Rizzo,215
Charlie Fox,216
Jim Fanning,217
Rick Hahn,218
Kenny Williams,219
Ken Williams,220
Ron Schueler,221
Ken Harrelson,222
Stu Holcomb,223
Ed Short,224
Charlie Comiskey,225
